"Criterio de carga
",Propuesta,Nombre corto,Cohorte,Inicio de la propuesta,Fin de la propuesta,Documento de la propuesta,Coordinación de la propuesta,Tipo de inscripción,Inscripción: inicio,Inscripción: fin,Límite lista de espera: subir documetación,Límite lista de espera: evaluar documetación,Cupo,Distribución de cupo,Tipo de inscripción,Nombre del módulo,ID de la edición del módulo,Momento en el que se ofrece,Tipo de aula,Tipo de aula adaptada,Aula según inscripción en IFD,Criterio de ordenamiento para aulas asociadas mixtas,Apertura de aula,Inicio de cursado,Cierre de actividades,Cierre de cursado,Estado revisión fechas,Cantidad de encuentros sincrónicos,Asistencia mínima obligatoria,A cargo del registro de asistencia,Tipo de agrupamiento ,Detalle del agrupamiento personalizado,"Simón Bolívar
(Córdoba)","Carbó
(Córdoba)","Leguizamón
(Córdoba)","Agulla
(Córdoba)","ISEP
(Córdoba)","ISPT
(Córdoba)","Trettel
(Córdoba)","Zípoli
(Córdoba)","Carena
(Mina Clavero)","Urquiza
(Río Cuarto)","Iescer
(Villa María)","Houssay
(Capilla del Monte)","San Martín
(San Francisco)","Lefrebvre
(Laboulaye)","Castro
(Río Tercero)",TOTAL DE AULAS,¿Se ofrece para recursadas?,Cohortes anteriores a las que se ofrece,OBSERVACIONES
Carrera - Acred. única,"De prácticas sociales e individuales: hablar, leer y escribir",SEMINARIOLEERYESCRIBIR,mayo 2023,03/05/2023,03/07/2023,https://docs.google.com/document/d/1ifpBDt6BMf3ZiWkMztdNy8nS6ktqN4H1RB6gSXDf5qA/edit?tab=t.0,Nadia Marconi,Abierta,03/04/2023,12/04/2023,02/05/2023,03/05/2023,450,,,"Seminario 1: De prácticas sociales e individuales: hablar, leer y escribir",1131,Cursado,Aula común,,Aula asociada mixta,,01/05/2023,03/05/2023,20/06/2023,03/07/2023,Confirmado,2,2,CPI,Aleatorio,Clic aquí,,6,,,,,,,1,,,,,1,,8,FALSE,,
Unidad curricular,Trayecto Pedagógico para Graduados no Docentes (Profesionales y Técnicos Superiores) para la Educación Secundaria,TRAYECTO_PED,marzo 2022,18/03/2022,25/06/2024,https://docs.google.com/document/d/1ifpBDt6BMf3ZiWkMztdNy8nS6ktqN4H1RB6gSXDf5qA/edit?tab=t.0,Inés Niño,Abierta,22/11/2021,16/12/2021,02/03/2022,02/03/2022,400,,,Módulo Introductorio,908,Cursado,Aula común,,Aula asociada,,16/03/2022,18/03/2022,27/04/2022,29/04/2022,Confirmado,1,,,Aleatorio,Clic aquí,,,,,1,,,,1,,5,3,2,1,,13,FALSE,,
Unidad curricular,Trayecto Pedagógico para Graduados no Docentes (Profesionales y Técnicos Superiores) para la Educación Secundaria,TRAYECTO_PED,marzo 2022,18/03/2022,25/06/2024,https://docs.google.com/document/d/1ifpBDt6BMf3ZiWkMztdNy8nS6ktqN4H1RB6gSXDf5qA/edit?tab=t.0,Inés Niño,Abierta,22/11/2021,16/12/2021,02/03/2022,02/03/2022,400,,,Perspectivas sobre la Educación,909,Cursado,Aula común,,Aula asociada,,09/05/2022,11/05/2022,01/07/2022,07/07/2022,Confirmado,2,2,CPI,Continuidad,Clic aquí,,,,,1,,,,1,,5,3,2,1,,13,FALSE,,
Unidad curricular,Actualización Académica Enseñar con Herramientas Digitales,HERRADIGI_ACT,agosto 2023,02/08/2023,24/09/2024,https://docs.google.com/document/d/1P3toi6V7SeOG2Xq5U56LjpvfXiRwbkGeYd1Q-hr6yDc/edit?tab=t.0,Laura Frencia,Abierta,23/05/2023,07/06/2023,26/07/2023,30/07/2023,275,,,Módulo Introductorio,1166,Cursado,Aula común,,Aula asociada,,31/07/2023,02/08/2023,05/09/2023,12/09/2023,Confirmado,1,,,Aleatorio,Clic aquí,,,,6,,,,,,1,1,,,,,8,FALSE,,
Unidad curricular,Actualización Académica Enseñar con Herramientas Digitales,HERRADIGI_ACT,agosto 2023,02/08/2023,24/09/2024,https://docs.google.com/document/d/1P3toi6V7SeOG2Xq5U56LjpvfXiRwbkGeYd1Q-hr6yDc/edit?tab=t.0,Laura Frencia,Abierta,23/05/2023,07/06/2023,26/07/2023,30/07/2023,275,,,"La clase como conjunción de tiempos, espacios, cuerpos y artefactos",1256,Cursado,Aula común,,Aula asociada,,04/03/2024,06/03/2024,16/04/2024,26/04/2024,Confirmado,2,2,CPI,Continuidad,Clic aquí,,,,4,,,,,,1,1,,,,,6,FALSE,,
Carrera - Acred. única,Seminario: Abordaje y resolución de situaciones problemáticas desde el currículum con énfasis en Matemáticas en la Educación Inicial,SEMINARIOABORDAJEMATEMATICA,marzo 2023,05/03/2025,29/04/2025,https://docs.google.com/document/d/1f7iHheFi1IxGZ8q2kw8m_ol_1DbjPCRKQXhA5nuleh4/edit?usp=sharing,Silvia Cruz,Abierta,14/11/2024,05/12/2024,22/12/2024,27/12/2024,50,,,,,Cursado,Aula común,,,,,,,,,,,,,Clic aquí,,,,,,,,,,,,,,,,,FALSE,,
Carrera - Acred. única,Seminario: Oralidad Lectura y Escritura desde el currículo con énfasis en Lenguaje y Literatura en la Educación Inicial,SEMINARIO_ORALIDADLYL,marzo 2023,05/03/2025,29/04/2025,https://docs.google.com/document/d/1SGwp2eqsSpeTTFEVxqomnQGjIfCiDXFeNXWLCcJzHLM/edit?usp=sharing,Nadia Marconi,Abierta,14/11/2024,05/12/2024,22/12/2024,27/12/2024,50,,,,,Cursado,Aula común,,,,,,,,,,,,,Clic aquí,,,,,,,,,,,,,,,,,FALSE,,
Carrera - Acred. múltiple,Actualización académica en la enseñanza de la Lengua y la Literatura a lo largo de la escolaridad,ENSELENGUAESCOLARIDAD_ACT,marzo 2023,05/03/2025,28/04/2026,https://docs.google.com/document/d/1c4USY5Igf7FP85t2hYewLAxiyEsL_Sn8QEkRGvE9D60/edit?usp=sharing,Nadia Marconi,Abierta,14/11/2024,05/12/2024,22/12/2024,27/12/2024,350,Urquiza: 100 (2 aulas) - Bolívar: 250 (5 aulas),,,,,,,,,,,,,,,,,,Clic aquí,,,,,,,,,,,,,,,,,FALSE,,
Carrera - Acred. múltiple,Actualización Académica en la Enseñanza de la Matemática a lo largo de la escolaridad,ENSEMATEESCOLARIDAD_ACT,marzo 2023,05/03/2025,28/04/2026,https://www.google.com/url?q=https://docs.google.com/document/d/1MGiVoPi0bQ1yRcW3j5I_GXMbTzTSnDDr-rdzy9rfAMg/edit?usp%3Dsharing&sa=D&source=editors&ust=1731086650378901&usg=AOvVaw34NfE_1Jw7vH1qXM7jB81I,Silvia Cruz,Abierta,14/11/2024,05/12/2024,22/12/2024,27/12/2024,400,Urquiza: 150 (3 aulas) - Bolívar: 250 (5 aulas),,,,,,,,,,,,,,,,,,Clic aquí,,,,,,,,,,,,,,,,,FALSE,,
